* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS with no timing reference
* Dated: Apr 30, 2026 7:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.2 dB
* Note: ; 2xJBL_EON715, 2xPRX800,, basy 3h, vysky0
* Measurement: L+R industra_mejdan Apr 30
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
81.163628 85.728 1226.8766
81.751770 86.245 1218.7388
82.344177 86.413 1210.4141
82.940880 86.268 1202.9509
83.541901 85.898 1197.2573
84.147285 85.446 1193.9537
84.757050 85.099 1192.9771
85.371231 85.009 1193.2277
85.989868 85.191 1193.1000
86.612984 85.528 1191.6495
87.240616 85.894 1189.0199
87.872803 86.241 1185.8579
88.509560 86.596 1182.6477
89.150940 86.988 1179.3577
89.796967 87.383 1175.5703
90.447670 87.682 1171.0071
91.103088 87.779 1165.9310
91.763260 87.630 1161.0773
92.428215 87.275 1157.2743
93.097992 86.837 1155.0283
93.772614 86.482 1154.2367
94.452133 86.348 1154.1968
95.136566 86.477 1153.9338
95.825966 86.789 1152.6655
96.520363 87.149 1150.1156
97.219788 87.440 1146.5103
97.924286 87.606 1142.3417
98.633881 87.647 1138.0939
99.348625 87.596 1134.0565
100.068542 87.483 1130.3234
100.793686 87.317 1126.9681
101.524078 87.109 1124.1648
102.259766 86.904 1122.0485
103.000778 86.765 1120.4636
103.747162 86.736 1118.9646
104.498962 86.802 1117.0985
105.256203 86.912 1114.6466
106.018929 87.007 1111.6403
106.787186 87.042 1108.2683
107.561012 86.988 1104.8094
108.340446 86.833 1101.6248
109.125526 86.595 1099.1229
109.916290 86.334 1097.5967
110.712791 86.134 1096.9629
111.515060 86.062 1096.7045
112.323143 86.124 1096.2163
113.137085 86.285 1095.1600
113.956924 86.497 1093.4352
114.782700 86.708 1091.0562
115.614464 86.872 1088.1810
116.452255 86.974 1085.1039
117.296112 87.031 1082.1011
118.146095 87.082 1079.3096
119.002228 87.166 1076.7346
119.864563 87.311 1074.2495
120.733154 87.523 1071.5486
121.608040 87.755 1068.2629
122.489258 87.929 1064.2629
123.376869 87.976 1059.8163
124.270905 87.874 1055.4545
125.171425 87.664 1051.6844
126.078468 87.434 1048.6891
126.992081 87.280 1046.1864
127.912323 87.247 1043.6321
128.839233 87.319 1040.5750
129.772842 87.437 1036.7863
130.713242 87.526 1032.2258
131.660431 87.511 1027.0547
132.614502 87.339 1021.6356
133.575485 86.992 1016.4452
134.543427 86.487 1011.9645
135.518387 85.875 1008.5801
136.500412 85.240 1006.4431
137.489548 84.686 1005.3338
138.485855 84.298 1004.7183
139.489380 84.116 1004.0074
140.500168 84.129 1002.7411
141.518295 84.288 1000.5947
142.543793 84.521 997.3568
143.576721 84.746 992.9604
144.617142 84.882 987.4940
145.665100 84.859 981.1912
146.720642 84.616 974.4586
147.783844 84.122 967.9009
148.854752 83.380 962.3107
149.933411 82.423 958.8102
151.019897 81.319 959.2110
152.114243 80.202 965.9014
153.216522 79.295 979.1974
154.326797 78.836 993.3422
155.445114 78.916 1002.3372
156.571533 79.428 1006.2289
157.706116 80.210 1007.1495
158.848923 81.143 1006.4221
160.000000 82.125 1004.3441
161.159424 83.045 1000.7081
162.327255 83.789 995.3442
163.503540 84.267 988.4886
164.688354 84.433 980.7821
165.881760 84.292 973.0055
167.083801 83.892 965.8342
168.294571 83.317 959.7155
169.514099 82.661 954.8913
170.742462 82.011 951.5563
171.979736 81.422 950.0268
173.225967 80.923 950.8016
174.481232 80.531 954.3171
175.745605 80.296 959.7844
177.019119 80.285 964.7830
178.301880 80.537 967.4868
179.593933 81.035 967.6576
180.895340 81.716 965.6309
182.206177 82.494 961.7296
183.526520 83.280 956.1516
184.856430 83.995 949.0339
186.195984 84.573 940.5389
187.545227 84.953 930.8408
188.904266 85.076 920.1567
190.273132 84.895 908.8856
191.651932 84.406 897.6302
193.040726 83.659 887.1511
194.439575 82.754 878.7189
195.848572 81.833 876.3263
197.267761 81.049 898.9536
198.697250 80.524 958.3817
200.137085 80.287 969.2803
201.587372 80.253 964.4120
203.048157 80.273 955.6935
204.519531 80.207 945.7364
206.001556 79.951 935.6608
207.494324 79.445 926.3349
208.997925 78.675 918.6893
210.512405 77.703 913.7805
212.037857 76.694 913.0425
213.574371 75.928 919.7432
215.122025 75.695 941.8911
216.680893 76.059 978.0465
218.251053 76.791 997.8190
219.832581 77.585 1001.7173
221.425583 78.234 999.2242
223.030121 78.666 994.8141
224.646286 78.929 990.7825
226.274170 79.158 988.1489
227.913849 79.500 986.7219
229.565399 80.010 985.5268
231.228928 80.618 983.7195
232.904510 81.196 981.1021
234.592224 81.659 978.0566
236.292191 82.005 975.1558
238.004456 82.298 972.5789
239.729126 82.583 970.0883
241.466309 82.860 967.5096
243.216080 83.115 964.9889
244.978516 83.367 962.7614
246.753738 83.649 960.6603
248.541809 83.955 958.1467
250.342850 84.233 954.8539
252.156937 84.432 950.9372
253.984161 84.531 946.8188
255.824646 84.534 942.8772
257.678467 84.461 939.4155
259.545685 84.354 936.6310
261.426483 84.272 934.4638
263.320862 84.254 932.4937
265.229004 84.283 930.1403
267.150970 84.285 927.1428
269.086853 84.186 923.7553
271.036774 83.956 920.5269
273.000824 83.623 917.9692
274.979095 83.248 916.4470
276.971710 82.904 916.1841
278.978760 82.657 917.1457
281.000336 82.540 918.8869
283.036591 82.534 920.7648
285.087585 82.603 922.5544
287.153442 82.753 924.4581
289.234283 83.024 926.4014
291.330200 83.441 927.7675
293.441284 83.972 927.8802
295.567688 84.533 926.4002
297.709503 85.031 923.4243
299.866821 85.390 919.3517
302.039795 85.561 914.7123
304.228485 85.524 910.1377
